날짜: 2026-06-26
게임 #150 (보드 #12, 시드 20270012)
대결: 선공 19941  vs  후공 18913

== 보드 (10행 x 17열, 각 칸 1~9) ==
  7 6 4 8 5 2 3 5 7 6 2 8 1 5 2 9 8
  3 1 5 5 5 7 6 6 9 1 7 7 9 9 5 1 6
  7 8 5 6 6 1 7 4 7 7 1 1 4 7 6 4 5
  2 1 5 9 8 2 5 6 9 4 3 4 2 1 2 9 9
  6 7 1 5 2 4 4 3 4 5 6 1 5 2 7 9 7
  4 1 2 8 1 2 6 4 2 7 2 5 2 6 3 7 1
  1 8 2 3 8 3 5 4 1 8 6 2 8 8 6 5 4
  3 4 9 3 6 8 8 1 2 1 3 7 3 7 1 8 7
  2 7 4 5 3 3 4 4 3 9 4 9 8 1 5 4 6
  4 4 7 6 3 8 3 9 4 3 3 3 1 6 8 2 8

== 진행/결과 ==
  선공(FIRST) = 19941    후공(SECOND) = 18913
  --- 진행 과정 ---
      1. [선]19941  (3,10)~(3,13)  점수 선4-후0
      2. [후]18913  (6,0)~(9,0)    점수 선4-후4
      3. [선]19941  (7,7)~(8,8)    점수 선8-후4
      4. [후]18913  (7,10)~(9,10)  점수 선8-후7
      5. [선]19941  (1,1)~(3,1)    점수 선11-후7
      6. [후]18913  (3,2)~(6,2)    점수 선11-후11
      7. [선]19941  (4,4)~(4,6)    점수 선14-후11
      8. [후]18913  (1,5)~(3,5)    점수 선14-후14
      9. [선]19941  (0,4)~(0,6)    점수 선17-후14
     10. [후]18913  (9,11)~(9,13)  점수 선17-후17
     11. [선]19941  (0,10)~(2,10)  점수 선20-후17
     12. [후]18913  (5,14)~(7,14)  점수 선20-후20
     13. [선]19941  (8,4)~(8,6)    점수 선23-후20
     14. [후]18913  (5,1)~(5,4)    점수 선23-후23
     15. [선]19941  (7,9)~(8,9)    점수 선25-후23
     16. [후]18913  (2,7)~(3,7)    점수 선25-후25
     17. [선]19941  (1,8)~(1,9)    점수 선27-후25
     18. [후]18913  (1,3)~(1,4)    점수 선27-후27
     19. [선]19941  (0,0)~(1,0)    점수 선29-후27
     20. [후]18913  (7,12)~(7,13)  점수 선29-후29
     21. [선]19941  (0,1)~(0,2)    점수 선31-후29
     22. [후]18913  (0,12)~(1,12)  점수 선31-후31
     23. [선]19941  (1,2)~(2,2)    점수 선33-후31
     24. [후]18913  (8,15)~(8,16)  점수 선33-후33
     25. [선]19941  (9,14)~(9,15)  점수 선35-후33
     26. [후]18913  (4,0)~(5,0)    점수 선35-후35
     27. [선]19941  (3,4)~(5,5)    점수 선39-후33
     28. [후]18913  (5,6)~(5,7)    점수 선39-후35
     29. [선]19941  PASS               점수 선39-후35
     30. [후]18913  (0,15)~(1,15)  점수 선39-후37
     31. [선]19941  (0,14)~(0,16)  점수 선42-후36
     32. [후]18913  (6,6)~(6,8)    점수 선42-후39
     33. [선]19941  (4,8)~(9,8)    점수 선46-후38
     34. [후]18913  (2,14)~(2,15)  점수 선46-후40
     35. [선]19941  PASS               점수 선46-후40
     36. [후]18913  (6,11)~(6,12)  점수 선46-후42
     37. [선]19941  (5,12)~(8,12)  점수 선50-후40
     38. [후]18913  (8,11)~(8,13)  점수 선49-후43
     39. [선]19941  (8,3)~(8,14)   점수 선55-후39
     40. [후]18913  (7,9)~(9,11)   점수 선51-후45
     41. [선]19941  PASS               점수 선51-후45
     42. [후]18913  PASS               점수 선51-후45
  --- 결과 ---  최종 점수 선51-후45  →  19941 승   (정상 종료)
