날짜: 2026-06-26
게임 #218 (보드 #18, 시드 20270018)
대결: 선공 19405  vs  후공 18913

== 보드 (10행 x 17열, 각 칸 1~9) ==
  3 1 8 1 8 5 1 7 5 9 6 9 9 1 3 3 7
  5 5 7 2 1 3 7 8 8 7 5 8 8 6 4 9 3
  4 3 7 4 2 4 4 8 8 2 6 9 9 8 5 7 5
  3 8 8 8 7 6 3 5 5 3 1 6 5 1 6 3 1
  7 9 9 6 9 8 2 9 4 9 2 4 5 6 6 1 8
  1 5 3 8 2 4 5 6 4 3 1 7 8 2 6 7 2
  7 9 7 4 4 2 8 6 2 3 3 2 5 6 4 2 3
  7 1 9 5 5 3 9 1 8 6 6 8 1 8 7 1 4
  5 6 9 9 1 2 3 1 2 5 7 8 5 9 1 1 1
  9 9 9 5 4 7 6 1 5 8 9 5 1 1 6 8 8

== 진행/결과 ==
  선공(FIRST) = 19405    후공(SECOND) = 18913
  --- 진행 과정 ---
      1. [선]19405  (5,16)~(8,16)  점수 선4-후0
      2. [후]18913  (1,4)~(2,5)    점수 선4-후4
      3. [선]19405  (6,4)~(8,4)    점수 선7-후4
      4. [후]18913  (3,14)~(3,16)  점수 선7-후7
      5. [선]19405  (6,8)~(6,11)   점수 선11-후7
      6. [후]18913  (3,10)~(7,10)  점수 선10-후12
      7. [선]19405  (5,9)~(5,11)   점수 선13-후11
      8. [후]18913  (7,8)~(8,8)    점수 선13-후13
      9. [선]19405  (5,8)~(7,9)    점수 선16-후12
     10. [후]18913  (7,7)~(7,12)   점수 선14-후17
     11. [선]19405  (6,12)~(8,12)  점수 선17-후16
     12. [후]18913  (0,12)~(0,13)  점수 선17-후18
     13. [선]19405  (5,2)~(6,2)    점수 선19-후18
     14. [후]18913  (4,5)~(4,6)    점수 선19-후20
     15. [선]19405  (7,1)~(7,2)    점수 선21-후20
     16. [후]18913  (5,12)~(5,13)  점수 선21-후22
     17. [선]19405  (3,7)~(3,8)    점수 선23-후22
     18. [후]18913  (3,11)~(4,11)  점수 선23-후24
     19. [선]19405  (2,1)~(2,2)    점수 선25-후24
     20. [후]18913  (1,13)~(1,14)  점수 선25-후26
     21. [선]19405  (3,5)~(5,5)    점수 선28-후25
     22. [후]18913  (0,5)~(7,5)    점수 선25-후31
     23. [선]19405  (0,3)~(0,6)    점수 선29-후30
     24. [후]18913  (3,4)~(3,6)    점수 선29-후32
     25. [선]19405  (0,15)~(0,16)  점수 선31-후32
     26. [후]18913  (3,0)~(4,0)    점수 선31-후34
     27. [선]19405  (1,0)~(1,1)    점수 선33-후34
     28. [후]18913  PASS               점수 선33-후34
     29. [선]19405  (5,3)~(5,4)    점수 선35-후34
     30. [후]18913  (4,3)~(6,3)    점수 선34-후37
     31. [선]19405  (5,1)~(5,6)    점수 선38-후35
     32. [후]18913  (4,0)~(5,1)    점수 선37-후38
     33. [선]19405  (7,14)~(8,15)  점수 선41-후38
     34. [후]18913  (6,15)~(9,15)  점수 선39-후42
     35. [선]19405  (5,14)~(6,14)  점수 선41-후42
     36. [후]18913  (8,13)~(9,13)  점수 선41-후44
     37. [선]19405  PASS               점수 선41-후44
     38. [후]18913  PASS               점수 선41-후44
  --- 결과 ---  최종 점수 선41-후44  →  18913 승   (정상 종료)
