날짜: 2026-06-26
게임 #201 (보드 #16, 시드 20270016)
대결: 선공 19405  vs  후공 19941

== 보드 (10행 x 17열, 각 칸 1~9) ==
  7 3 9 9 2 9 5 6 7 2 5 7 4 2 4 4 9
  7 8 7 9 6 8 9 3 5 3 4 9 6 1 3 9 1
  8 4 5 4 4 1 9 2 6 5 4 7 5 8 1 2 8
  5 7 2 1 5 8 5 8 6 1 3 1 2 7 9 2 2
  5 1 3 7 8 6 2 8 9 2 2 3 5 8 9 4 9
  7 1 3 9 1 6 1 1 1 3 9 8 1 5 7 2 4
  3 1 1 4 4 7 1 8 7 3 2 1 1 7 4 4 6
  8 4 2 2 8 1 6 9 5 8 3 4 6 1 5 4 1
  2 1 4 1 8 1 6 8 4 8 2 8 6 8 1 4 2
  7 3 7 7 7 8 9 9 7 2 8 3 2 7 1 3 5

== 진행/결과 ==
  선공(FIRST) = 19405    후공(SECOND) = 19941
  --- 진행 과정 ---
      1. [선]19405  (5,4)~(5,8)    점수 선5-후0
      2. [후]19941  (4,1)~(6,2)    점수 선5-후6
      3. [선]19405  (0,13)~(1,14)  점수 선9-후6
      4. [후]19941  (3,2)~(4,3)    점수 선9-후9
      5. [선]19405  (9,12)~(9,14)  점수 선12-후9
      6. [후]19941  (6,10)~(7,11)  점수 선12-후13
      7. [선]19405  (6,14)~(8,14)  점수 선15-후13
      8. [후]19941  (2,15)~(5,15)  점수 선15-후17
      9. [선]19405  (1,14)~(2,15)  점수 선18-후16
     10. [후]19941  (7,5)~(9,5)    점수 선18-후19
     11. [선]19405  (0,9)~(2,9)    점수 선21-후19
     12. [후]19941  (2,8)~(2,10)   점수 선20-후22
     13. [선]19405  (1,7)~(2,8)    점수 선24-후21
     14. [후]19941  (3,8)~(3,10)   점수 선24-후24
     15. [선]19405  (8,10)~(9,10)  점수 선26-후24
     16. [후]19941  (9,0)~(9,1)    점수 선26-후26
     17. [선]19405  (0,0)~(0,1)    점수 선28-후26
     18. [후]19941  (7,0)~(8,0)    점수 선28-후28
     19. [선]19405  (0,16)~(1,16)  점수 선30-후28
     20. [후]19941  (0,12)~(1,12)  점수 선30-후30
     21. [선]19405  (2,5)~(2,6)    점수 선32-후30
     22. [후]19941  (3,0)~(4,0)    점수 선32-후32
     23. [선]19405  (1,4)~(2,4)    점수 선34-후32
     24. [후]19941  (2,16)~(3,16)  점수 선34-후34
     25. [선]19405  (4,6)~(4,7)    점수 선36-후34
     26. [후]19941  (8,9)~(9,9)    점수 선36-후36
     27. [선]19405  (9,8)~(9,11)   점수 선39-후35
     28. [후]19941  (3,11)~(3,13)  점수 선39-후38
     29. [선]19405  (2,11)~(4,11)  점수 선42-후37
     30. [후]19941  (2,12)~(4,12)  점수 선42-후39
     31. [선]19405  (5,0)~(6,0)    점수 선44-후39
     32. [후]19941  (5,11)~(6,12)  점수 선44-후42
     33. [선]19405  (6,9)~(6,13)   점수 선49-후39
     34. [후]19941  (5,8)~(6,9)    점수 선47-후43
     35. [선]19405  (4,9)~(7,9)    점수 선51-후41
     36. [후]19941  (4,10)~(4,13)  점수 선50-후44
     37. [선]19405  (6,15)~(6,16)  점수 선52-후44
     38. [후]19941  (7,3)~(7,4)    점수 선52-후46
     39. [선]19405  (6,1)~(7,3)    점수 선58-후43
     40. [후]19941  (5,3)~(8,3)    점수 선56-후47
     41. [선]19405  PASS               점수 선56-후47
     42. [후]19941  PASS               점수 선56-후47
  --- 결과 ---  최종 점수 선56-후47  →  19405 승   (정상 종료)
