날짜: 2026-06-26
게임 #277 (보드 #23, 시드 20270023)
대결: 선공 18913  vs  후공 19405

== 보드 (10행 x 17열, 각 칸 1~9) ==
  2 8 1 1 8 4 7 2 6 6 6 3 5 1 8 5 6
  9 9 6 8 1 9 7 5 4 7 6 7 8 8 4 2 8
  2 8 9 7 3 4 8 5 1 8 9 7 5 8 4 7 4
  1 3 5 8 2 8 3 9 9 7 3 2 4 9 6 2 7
  3 6 2 3 8 2 5 8 6 1 7 1 5 7 4 6 6
  6 8 4 2 1 1 7 4 8 5 8 3 8 9 8 9 4
  4 4 4 1 7 1 3 5 6 9 6 9 6 3 6 6 2
  2 7 5 8 6 2 9 1 9 8 9 9 5 6 7 4 1
  4 5 2 6 9 4 1 6 8 7 3 6 4 3 3 3 5
  8 6 8 6 7 9 6 8 9 5 3 6 5 2 3 7 7

== 진행/결과 ==
  선공(FIRST) = 18913    후공(SECOND) = 19405
  --- 진행 과정 ---
      1. [선]18913  (5,4)~(6,5)    점수 선4-후0
      2. [후]19405  (5,7)~(7,7)    점수 선4-후3
      3. [선]18913  (6,3)~(6,8)    점수 선8-후2
      4. [후]19405  (5,2)~(6,3)    점수 선7-후6
      5. [선]18913  (0,2)~(0,4)    점수 선10-후6
      6. [후]19405  (9,12)~(9,14)  점수 선10-후9
      7. [선]18913  (8,12)~(8,14)  점수 선13-후9
      8. [후]19405  (3,0)~(5,0)    점수 선13-후12
      9. [선]18913  (2,3)~(2,4)    점수 선15-후12
     10. [후]19405  (3,4)~(4,4)    점수 선15-후14
     11. [선]18913  (2,14)~(3,14)  점수 선17-후14
     12. [후]19405  (8,2)~(9,2)    점수 선17-후16
     13. [선]18913  (8,9)~(8,10)   점수 선19-후16
     14. [후]19405  (1,7)~(2,7)    점수 선19-후18
     15. [선]18913  (4,14)~(4,15)  점수 선21-후18
     16. [후]19405  (2,0)~(2,1)    점수 선21-후20
     17. [선]18913  (6,0)~(8,0)    점수 선24-후20
     18. [후]19405  (0,0)~(0,1)    점수 선24-후22
     19. [선]18913  (3,10)~(4,10)  점수 선26-후22
     20. [후]19405  (0,8)~(1,8)    점수 선26-후24
     21. [선]18913  (2,8)~(3,8)    점수 선28-후24
     22. [후]19405  (0,11)~(1,11)  점수 선28-후26
     23. [선]18913  (2,11)~(4,11)  점수 선31-후26
     24. [후]19405  (4,4)~(7,5)    점수 선27-후33
     25. [선]18913  (1,4)~(8,4)    점수 선34-후28
     26. [후]19405  (8,3)~(8,5)    점수 선33-후31
     27. [선]18913  (7,6)~(8,6)    점수 선35-후31
     28. [후]19405  (1,15)~(1,16)  점수 선35-후33
     29. [선]18913  (0,16)~(2,16)  점수 선38-후32
     30. [후]19405  (4,2)~(4,6)    점수 선37-후36
     31. [선]18913  (3,2)~(7,2)    점수 선42-후33
     32. [후]19405  (3,6)~(5,6)    점수 선42-후35
     33. [선]18913  PASS               점수 선42-후35
     34. [후]19405  PASS               점수 선42-후35
  --- 결과 ---  최종 점수 선42-후35  →  18913 승   (정상 종료)
