날짜: 2026-06-26
게임 #64 (보드 #05, 시드 20270005)
대결: 선공 19931  vs  후공 18913

== 보드 (10행 x 17열, 각 칸 1~9) ==
  3 4 1 1 4 1 1 3 2 5 9 3 7 7 9 4 1
  9 3 6 1 1 5 9 7 4 1 8 6 4 4 7 9 4
  4 9 4 5 3 7 9 7 1 5 9 4 1 6 3 5 2
  5 6 1 5 4 8 2 1 4 4 4 8 8 6 9 1 1
  5 9 6 6 7 1 1 4 7 8 6 9 8 1 8 4 5
  7 4 3 8 8 2 3 3 9 4 8 5 5 1 5 3 8
  4 3 5 1 3 9 6 5 4 8 2 9 9 5 1 8 9
  2 6 1 4 4 3 6 6 7 3 5 7 2 2 7 5 6
  9 3 2 5 9 5 5 5 4 2 5 2 6 9 5 3 6
  4 5 9 7 1 1 6 6 8 5 6 1 9 4 1 1 1

== 진행/결과 ==
  선공(FIRST) = 19931    후공(SECOND) = 18913
  --- 진행 과정 ---
      1. [선]19931  (8,14)~(9,15)  점수 선4-후0
      2. [후]18913  (1,3)~(2,4)    점수 선4-후4
      3. [선]19931  (7,9)~(9,9)    점수 선7-후4
      4. [후]18913  (3,2)~(3,4)    점수 선7-후7
      5. [선]19931  (6,3)~(8,3)    점수 선10-후7
      6. [후]18913  (7,11)~(9,11)  점수 선10-후10
      7. [선]19931  (1,9)~(3,9)    점수 선13-후10
      8. [후]18913  (2,12)~(2,14)  점수 선13-후13
      9. [선]19931  (1,13)~(3,13)  점수 선16-후12
     10. [후]18913  (2,15)~(4,15)  점수 선16-후15
     11. [선]19931  (3,10)~(4,10)  점수 선18-후15
     12. [후]18913  (0,11)~(0,12)  점수 선18-후17
     13. [선]19931  (3,0)~(4,0)    점수 선20-후17
     14. [후]18913  (8,4)~(9,4)    점수 선20-후19
     15. [선]19931  (8,1)~(8,5)    점수 선24-후18
     16. [후]18913  (7,2)~(9,2)    점수 선23-후21
     17. [선]19931  (2,8)~(2,10)   점수 선25-후21
     18. [후]18913  (7,1)~(7,4)    점수 선24-후24
     19. [선]19931  (6,3)~(9,4)    점수 선29-후21
     20. [후]18913  (9,0)~(9,5)    점수 선27-후26
     21. [선]19931  (8,6)~(8,7)    점수 선29-후26
     22. [후]18913  (1,11)~(2,11)  점수 선29-후28
     23. [선]19931  (6,9)~(6,10)   점수 선31-후28
     24. [후]18913  (5,4)~(5,5)    점수 선31-후30
     25. [선]19931  (0,8)~(3,8)    점수 선34-후30
     26. [후]18913  (0,7)~(1,7)    점수 선34-후32
     27. [선]19931  PASS               점수 선34-후32
     28. [후]18913  (0,6)~(1,6)    점수 선34-후34
     29. [선]19931  (0,4)~(1,5)    점수 선38-후33
     30. [후]18913  (1,2)~(2,2)    점수 선38-후35
     31. [선]19931  PASS               점수 선38-후35
     32. [후]18913  (3,5)~(3,6)    점수 선38-후37
     33. [선]19931  (4,6)~(6,6)    점수 선41-후37
     34. [후]18913  (4,5)~(6,5)    점수 선41-후39
     35. [선]19931  (2,5)~(7,5)    점수 선47-후35
     36. [후]18913  (0,3)~(2,6)    점수 선42-후42
     37. [선]19931  (0,1)~(0,9)    점수 선50-후37
     38. [후]18913  (6,2)~(6,7)    점수 선46-후43
     39. [선]19931  (5,1)~(6,2)    점수 선50-후42
     40. [후]18913  (5,11)~(5,12)  점수 선50-후44
     41. [선]19931  (4,12)~(5,13)  점수 선54-후43
     42. [후]18913  PASS               점수 선54-후43
     43. [선]19931  PASS               점수 선54-후43
  --- 결과 ---  최종 점수 선54-후43  →  19931 승   (정상 종료)
